Listing Office - Office Name,List Agent - Agent Name,Price,Status,Address,City,MLS #,Property Type,State,County,Date - MLS List,Bedrooms - Total,Baths - Total,SqFtTotFn,DOM,Assessment Amount,Assessment Year,Price - Closed,Price - List,PicCount, Price - Original , Tax - Gross Amount ,Date - Closed,Lot - Acres,Garage Type,Year Built,Total Stories,Surveyed,Showing Service,Seasonal,Water Body Type,Water Frontage Length,Short Sale,Rooms - Total,Rented,Garage Capacity,Garage,Foreclosed/Bank-Owned/REO,Flood Zone,Easements,Development / Subdivision,Current Use,Covenants,Common Land Acres,Basement Access Type,Basement
"Barrett and Valley Associates, Inc/Sprin",Gale Alger,"$160,000",CL,1800 Reservoir Road,Weathersfield,4395657,Single Family,VT,VT-Windsor,12/3/2014,3,2,"1,300",238,"$125,900",2011,"$160,000","$169,500",25,"169,500","2,687",9/14/2015,3,,1975,1.5,Unknown,,No,,,No,5,,0,No,No,Unknown,,,,No,,Walkout,Yes
Buffum Realty,Julie Buffum,"$199,000",CL,260A Dan Jarvis Road,Weathersfield,4395944,Single Family,VT,VT-Windsor,12/7/2014,3,2,"1,760",52,"$273,700",2012,"$199,000","$205,000",19,"221,000","6,122",3/23/2015,3.82,Attached,2005,1,No,,No,,,No,6,,2,Yes,Yes,Unknown,,,No,Unknown,,Interior,Yes
RE/MAX Upper Valley,Katie Ladue Gilbert,"$160,000",CL,250 Quarry Road,Weathersfield,4410798,Single Family,VT,VT-Windsor,3/31/2015,3,2,"1,680",52,"$160,900",2007,"$160,000","$165,000",25,"165,000","3,599",8/4/2015,1.11,Detached,1970,1,Unknown,,No,,,No,5,,2,Yes,No,No,,,No,No,,Interior,Yes
Muse and Associates Real Estate,Lori Muse,"$265,000",CL,173 Asa Grout Lane,Weathersfield,4411474,Single Family,VT,VT-Windsor,4/6/2015,3,4,"2,788",396,"$296,800",2012,"$265,000","$269,900",24,"325,000","6,334",7/1/2016,10.2,Detached,1986,3,No,,No,,,No,10,,2,Yes,No,No,,,Unknown,Unknown,,Interior,Yes
Muse and Associates Real Estate,Lori Muse,"$262,500",CL,184 Upper falls Rd,Weathersfield,4413892,Single Family,VT,VT-Windsor,4/16/2015,3,2,"2,100",8,"$206,400",2011,"$262,500","$269,900",20,"269,900","4,617",6/15/2015,2.2,Detached,1990,2,No,,No,,,No,10,,3,Yes,No,No,,,No,Unknown,,Interior,Yes
Coldwell Banker Watson Realty/ Ludlow,Catherine T Fisher,"$172,185",CL,180 Landon Drive,Weathersfield,4416315,Single Family,VT,VT-Windsor,4/27/2015,3,2,"1,568",67,"$202,000",,"$172,185","$172,185",14,"172,185","4,319",8/27/2015,3,Detached,1988,2,Yes,,No,,,No,6,,2,Yes,No,No,,,No,Unknown,,Interior,Yes
BHG Masiello Group/Quechee,Derek Cosentino,"$116,000",CL,303 Victory Circle,Weathersfield,4430252,Single Family,VT,VT-Windsor,6/7/2015,3,2,"1,056",359,"$90,100",2015,"$116,000","$124,900",12,"149,000","2,015",8/12/2016,1,Detached,1988,1,No,,No,,,No,7,,2,Yes,No,Unknown,,,,No,,,No
Bean Group / Vermont,Mark Roden,"$250,000",CL,23 Thrasher Road,Weathersfield,4429483,Single Family,VT,VT-Windsor,6/10/2015,3,3,"3,348",292,,,"$250,000","$258,000",30,"264,500","4,415",5/6/2016,1.3,Detached,1900,1.75,Unknown,,No,,,No,8,,3,Yes,No,Unknown,,,No,No,,Walk-up,Yes
"Barrett and Valley Associates, Inc/Sprin",Gale Alger,"$270,000",CL,3101 Route 5,Weathersfield,4430324,Single Family,VT,VT-Windsor,6/12/2015,3,3,"2,311",95,"$295,700",2011,"$270,000","$299,000",15,"299,000","6,311",10/16/2015,5.01,Attached,1999,2,Yes,,No,River,800,No,8,,2,Yes,No,No,Yes,,No,Unknown,,Interior,Yes
Olney Realty,Glenn Olney,"$145,000",CL,109 Baltimore Road,Weathersfield,4431821,Single Family,VT,VT-Windsor,6/17/2015,3,2,"1,392",21,,2014,"$145,000","$169,000",13,"169,000","3,073",9/8/2015,2.9,,1981,1,Unknown,,No,,,No,5,,0,No,No,No,,,No,Unknown,,Walkout,Yes
Country Real Estate,Tom Campbell,"$130,000",CL,1351 Little Canada Road,Weathersfield,4434930,Single Family,VT,VT-Windsor,6/26/2015,2,1,984,54,"$139,600",2014,"$130,000","$142,500",11,"142,500","3,123",9/18/2015,3.8,Detached,1983,1,Unknown,,No,,,No,5,,2,Yes,No,Unknown,,,,Unknown,,,No
Absolute Realty,House Agent,"$265,000",CL,207 Garden Way,Weathersfield,4434502,Single Family,VT,VT-Windsor,6/30/2015,4,2,"2,024",198,"$258,100",2014,"$265,000","$267,500",36,"267,500","5,773",2/22/2016,2.27,Attached,2005,1.5,Yes,,No,,,No,9,,2,Yes,No,No,Yes,Voghell,No,Yes,,Interior,Yes
"Walnut Hill Realty, LLC",Rebecca Sanford,"$181,000",CL,70 Birchwood,Weathersfield,4437249,Single Family,VT,VT-Windsor,7/10/2015,3,2,"1,830",129,"$229,900",,"$181,000","$199,000",25,"224,500","5,142",1/12/2016,6.23,Attached,1979,1.5,Unknown,,No,,,No,6,,2,Yes,No,Unknown,,,,No,,Interior,Yes
Muse and Associates Real Estate,Lori Muse,"$119,000",CL,935 South Mountain Road,Weathersfield,4442736,Single Family,VT,VT-Windsor,8/4/2015,1,1,"1,478",115,,,"$119,000","$135,000",9,"147,000", -   ,1/22/2016,30.7,,1980,2,Yes,,Yes,,,No,4,,0,No,No,Unknown,,,,Unknown,,Walkout,Yes
Bean Group / Vermont,Betty McEnaney,"$195,000",CL,91 Jarvis Road,Weathersfield,4444443,Single Family,VT,VT-Windsor,8/11/2015,4,3,"2,648",32,"$207,800",,"$195,000","$200,000",23,"200,000","4,435",10/22/2015,1,Detached,1971,2,No,,No,,,No,8,,2,Yes,No,No,,,,No,,Walkout,Yes
"Barrett and Valley Associates, Inc/Sprin",Gale Alger,"$120,000",CL,355 Grout Road,Weathersfield,4444324,Single Family,VT,VT-Windsor,8/12/2015,0,0,"3,500",215,,2015,"$120,000","$139,000",15,"139,000","2,456",5/25/2016,24.32,Attached,1989,1.5,Yes,,No,,,No,10,,2,Yes,No,No,,,,No,,,No
Town and Country Realty,Amy S Messina,"$250,000",CL,1721 Thrasher Road,Weathersfield,4449844,Single Family,VT,VT-Windsor,9/9/2015,2,1,995,390,,2014,"$250,000","$295,000",14,"315,500","6,033",11/23/2016,42,Detached,1948,1,Unknown,,No,,,No,4,,3,Yes,No,No,,,No,Yes,,Walkout,Yes
ERA Mountain Real Estate,Kaitlyn Hummel,"$10,000",CL,206 Jason Smith Road,Weathersfield,4459707,Single Family,VT,VT-Windsor,11/9/2015,4,2,"1,650",84,,,"$10,000","$21,000",11,"32,500",956,2/26/2016,4.2,Under,1866,2,Unknown,,Unknown,,,No,9,,1,Yes,No,Unknown,,,,Unknown,,Walkout,Yes
Buffum Realty,Julie Buffum,"$146,500",CL,74 Moore Drive Drive,Weathersfield,4460492,Single Family,VT,VT-Windsor,11/15/2015,3,2,728,109,,,"$146,500","$144,900",17,"144,900","3,080",4/27/2016,10.6,,2000,1.5,Unknown,,No,,,No,7,,0,No,No,No,,,,Unknown,,Walkout,Yes
Town and Country Realty,Don Chabot,"$185,000",CL,47 Gravelin Road,Weathersfield,4463070,Single Family,VT,VT-Windsor,12/8/2015,4,1,"1,100",359,,,"$185,000","$224,900",23,"237,400","3,686",4/10/2017,42.58,Detached,1950,1.5,No,,No,,,No,7,,2,Yes,No,Unknown,,,,Unknown,,Interior,Yes
Town and Country Realty,Amy S Messina,"$141,000",CL,5684 US Route 5,Weathersfield,4466506,Single Family,VT,VT-Windsor,1/10/2016,4,2,"1,488",36,"$150,000",2014,"$141,000","$149,900",7,"149,900","3,355",4/15/2016,1.01,,1957,1,Yes,,No,,,No,7,,0,No,No,Unknown,,,No,No,,Interior,Yes
"Barrett and Valley Associates, Inc/Chest",Joan Morey,"$405,000",CL,811 Baltimore Road,Weathersfield,4482814,Single Family,VT,VT-Windsor,4/13/2016,3,3,"2,410",31,,,"$405,000","$425,000",27,"425,000","6,643",10/20/2016,15.58,Attached,2001,2,Yes,,No,,,No,5,,2,Yes,No,No,,,,Unknown,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Debra Staniscia,"$410,000",CL,625 Baltimore Road,Weathersfield,4482794,Single Family,VT,VT-Windsor,4/14/2016,3,3,"2,568",164,,2015,"$410,000","$425,000",26,"469,000","7,035",11/4/2016,10.37,Detached,2006,2,Yes,,No,,,No,8,,2,Yes,No,No,,,,Unknown,,Interior,Yes
Four Seasons Sotheby's Int'l Realty,Erika L Smith,"$187,000",CL,1382 Wellwood Orchard Road,Weathersfield,4486144,Single Family,VT,VT-Windsor,4/27/2016,1,1,"1,000",136,"$232,500",2015,"$187,000","$225,000",17,"269,000","5,201",11/16/2016,75,,1979,1.5,Unknown,,No,,,No,3,,0,No,No,No,,,,No,,Walkout,Yes
"Barrett and Valley Associates, Inc/Chest",Joan Morey,"$355,000",CL,37 Cooks Pond Road,Weathersfield,4486855,Single Family,VT,VT-Windsor,5/2/2016,4,4,"3,736",70,,,"$355,000","$386,000",34,"386,000","7,639",9/12/2016,3.6,Detached,1967,2,Yes,,No,,,No,10,,2,Yes,No,No,,,No,No,,Interior,Yes
Williamson Group Sothebys Intl. Realty,Danny Kogut,"$363,000",CL,562 Old Bow Road,Weathersfield,4488176,Single Family,VT,VT-Windsor,5/6/2016,3,4,"3,500",47,,,"$363,000","$388,888",36,"388,888","9,775",8/18/2016,10.67,Attached,1989,2,Yes,,No,,,No,13,,2,Yes,No,No,,,,No,,Walkout,Yes
Buffum Realty,Julie Buffum,"$85,300",CL,4756 Route 106 Road,Weathersfield,4490790,Single Family,VT,VT-Windsor,5/17/2016,3,3,"1,858",8,,,"$85,300","$85,300",10,"85,300","4,783",7/11/2016,27,,1850,2,No,,No,,,No,7,,0,No,Yes,Unknown,,,,Unknown,,Interior,Yes
RE/MAX Upper Valley,Katie Ladue Gilbert,"$233,000",CL,37 Branch Brook Road,Weathersfield,4492918,Single Family,VT,VT-Windsor,5/24/2016,3,2,"2,296",285,"$290,000",,"$233,000","$245,000",40,"272,900","6,487",3/31/2017,3.13,Attached,2004,1,Yes,,No,,,No,7,,2,Yes,No,Unknown,,,,No,0,Interior,Yes
Town and Country Realty,Don Chabot,"$172,500",CL,4952 Weathersfield Center Road,Weathersfield,4493953,Single Family,VT,VT-Windsor,5/28/2016,2,1,952,11,"$164,500",2015,"$172,500","$179,900",14,"179,900","3,511",7/30/2016,8.2,,2005,1,Unknown,,No,,,No,4,,0,No,No,No,,,,No,,Interior,Yes
Buffum Realty,Julie Buffum,"$155,000",CL,334 Maple Street,Weathersfield,4495564,Single Family,VT,VT-Windsor,6/4/2016,2,1,768,36,"$128,900",2011,"$155,000","$165,000",21,"165,000","2,883",8/19/2016,4.7,Detached,1987,1,No,,No,,,No,6,,2,Yes,No,No,,,No,Unknown,,Walkout,Yes
Town and Country Realty,Amy S Messina,"$105,000",CL,4508 Route 131,Weathersfield,4498087,Single Family,VT,VT-Windsor,6/13/2016,3,2,"1,013",92,,,"$105,000","$119,500",6,"119,500","2,303",12/15/2016,2.5,,1991,1,Unknown,,No,,,No,5,,0,No,No,Unknown,,,No,No,,,No
Bean Group / Vermont,Amy Hill,"$149,500",CL,5508 Route 106,Weathersfield,4498450,Single Family,VT,VT-Windsor,6/17/2016,3,2,"1,969",126,,,"$149,500","$153,000",25,"159,900","2,438",1/13/2017,1.25,,1820,2,Unknown,,No,,,No,7,,0,No,No,No,,,No,No,,Interior,Yes
Bean Group / Vermont,Mark Roden,"$245,000",CL,19 Meadow Lane,Weathersfield,4498430,Single Family,VT,VT-Windsor,6/17/2016,3,2,"2,103",241,,,"$245,000","$254,500",36,"269,000","4,633",3/27/2017,1.9,Attached,1966,1,Unknown,,No,,,No,7,No,2,Yes,No,Unknown,,None (Wea),,No,0,Walkout,Yes
Coldwell Banker Homes Unlimited,Justin Ranney,"$77,000",CL,4329 Weathersfield Center Road,Weathersfield,4499315,Single Family,VT,VT-Windsor,6/21/2016,2,1,"2,000",114,"$177,000",,"$77,000","$89,900",1,"129,900","3,792",2/14/2017,0.4,Attached,1986,1,Unknown,,No,,,No,9,,1,Yes,Yes,Unknown,,,,Unknown,,Walkout,Yes
RE/MAX Upper Valley,Katie Ladue Gilbert,"$250,000",CL,249 Route 12,Weathersfield,4501455,Single Family,VT,VT-Windsor,6/30/2016,4,2,"2,767",72,"$274,200",2012,"$250,000","$259,900",36,"259,900","6,133",12/12/2016,6.05,Detached,1991,2,Yes,,No,,,No,10,,4,Yes,No,Unknown,,,No,Unknown,,Walk-up,Yes
Dark Horse Realty,Dana S Waters,"$142,000",CL,44 Upper Falls Road,Weathersfield,4510663,Single Family,VT,VT-Windsor,8/17/2016,3,2,"1,554",45,"$157,100",,"$142,000","$155,000",14,"155,000","3,539",11/18/2016,0.5,,1800,2,No,None,No,,,No,6,,0,No,No,No,,,No,Unknown,,Interior,Yes
Muse and Associates Real Estate,Lori Muse,"$55,000",CL,441 South Mountain Road,Weathersfield,4616607,Single Family,VT,VT-Windsor,2/2/2017,3,2,847,13,"$134,300",2013,"$55,000","$55,000",21,"55,000","2,973",3/3/2017,1.2,,1989,1,No,,No,,,No,7,,,No,No,No,No,,,Unknown,,,No
Robert Wallace Real Estate,Robert S Wallace,"$300,000",CL,2731 Sheddsville Rd,West Windsor,4006098,Single Family,VT,VT-Windsor,6/16/2010,3,2,"1,485",1127,,,"$300,000","$325,000",11,"489,000","5,176",10/1/2013,10.51,Detached,1805,1.5,Yes,,No,Brook,800,,5,,2,Yes,No,No,,,,No,,,Yes
Seth Warren Real Estate,Seth Warren,"$215,000",CL,503 Yale Heights,West Windsor,4014888,Single Family,VT,VT-Windsor,7/28/2010,3,2,0,828,,,"$215,000","$239,000",12,"299,000","4,400",12/20/2012,10.2,Detached,1993,2,Yes,,No,,,,6,,2,Yes,,No,,,No,Yes,,,Yes
Seth Warren Real Estate,Seth Warren,"$190,000",CL,3560 Rt 44,West Windsor,4020549,Single Family,VT,VT-Windsor,8/26/2010,2,2,"1,500",669,,,"$190,000","$199,000",15,"235,000","3,014",8/9/2012,2,,1987,2,No,,No,,,,7,,0,No,,No,,,No,No,,Walkout,Yes
Dark Horse Realty,Dana S Waters,"$275,000",CL,58 Cemetery Rd,West Windsor,4027606,Single Family,VT,VT-Windsor,10/4/2010,7,4,"3,868",1052,"$553,600",,"$275,000","$315,000",20,"599,000","5,587",9/27/2013,3.64,Detached,1795,2,Yes,,No,,,,10,,2,Yes,No,No,,,No,No,,,Yes
Seth Warren Real Estate,Seth Warren,"$250,000",CL,563 Yale Heights Road,West Windsor,4059998,Single Family,VT,VT-Windsor,5/3/2011,4,2,"1,800",320,,,"$250,000","$299,000",5,"319,000","5,107",5/15/2012,10.89,,1997,1.5,Yes,,No,,,,8,,0,No,,No,,Yale Heights,,Yes,,,Yes
Dark Horse Realty,Dana S Waters,"$115,000",CL,1084 Sheddsville Rd,West Windsor,4073195,Single Family,VT,VT-Windsor,6/21/2011,2,1,768,168,"$227,300",2010,"$115,000","$125,000",12,"160,000","3,988",3/2/2012,8.99,Detached,1920,1,Unknown,,No,,,,4,,2,Yes,,No,,,No,No,,,No
Bellville Realty,A.J. Bellville,"$112,035",CL,1042 Route 44,West Windsor,4073960,Single Family,VT,VT-Windsor,6/24/2011,4,2,"2,863",178,,,"$112,035","$159,600",11,"235,000","3,822",1/23/2012,0.5,Detached,1890,2,Unknown,,No,,,,9,,3,Yes,,Unknown,,,,Unknown,,,Yes
Seth Warren Real Estate,Seth Warren,"$233,500",CL,1173 Bible Hill Rd,West Windsor,4079481,Single Family,VT,VT-Windsor,7/15/2011,3,3,"2,300",321,"$360,400",,"$233,500","$289,000",6,"325,000", -   ,7/20/2012,2.25,Attached,1972,1.5,Unknown,,No,,,,6,,2,Yes,,No,,,No,Unknown,,,Yes
Dark Horse Realty,Dana S Waters,"$120,000",CL,908 Route 44,West Windsor,4082653,Single Family,VT,VT-Windsor,7/28/2011,3,1,"1,843",614,"$207,600",2010,"$120,000","$140,000",8,"175,000","3,510",5/24/2013,2,Detached,1900,1.5,No,,No,Stream,,,7,,5,Yes,No,Unknown,,,No,No,,,Yes
VCP Sotheby`s International - Ludlow,house,"$569,000",CL,207 Corliss Farm Road,West Windsor,4089228,Single Family,VT,VT-Windsor,8/26/2011,5,3,"6,305",861,"$723,500",2013,"$569,000","$599,000",30,"849,000","13,048",2/21/2014,42,Attached,1990,2.5,Unknown,,No,,,No,10,,1,Yes,No,Unknown,,,Unknown,Unknown,,,Yes
Seth Warren Real Estate,Seth Warren,"$154,900",CL,119 South View Road,West Windsor,4098683,Single Family,VT,VT-Windsor,10/8/2011,2,1,"1,032",120,"$161,200",2011,"$154,900","$154,900",8,"154,900","2,726",3/29/2012,4.36,,1998,1,Yes,,No,,0,,3,,0,No,,No,,,,Yes,,Walkout,Yes
Coldwell Banker Redpath and Co./Quechee,agent22051 house,"$125,000",CL,104 Mountain's Edge,West Windsor,4105137,Condo,VT,VT-Windsor,10/31/2011,3,3,"1,300",365,"$177,400",,"$125,000","$139,900",15,"139,900","2,999",12/13/2012,6,,2007,3,Yes,,No,,,,6,,0,No,,Unknown,,,Unknown,Yes,,,No
Dark Horse Realty,Lauri L Bessey,"$162,000",CL,716 Sky Hawk Lane,West Windsor,4108752,Single Family,VT,VT-Windsor,11/12/2011,3,2,"1,251",203,"$213,000",2011,"$162,000","$159,500",13,"159,500","3,602",8/6/2012,1.4,,1965,2,Yes,None,No,,,,5,,0,No,,Unknown,,Sky Hawk Village Dev,No,Yes,,,No
Seth Warren Real Estate,Seth Warren,"$227,000",CL,2711 Rush Meadow Rd,West Windsor,4118260,Single Family,VT,VT-Windsor,12/21/2011,3,2,"2,120",86,"$394,500",2005,"$227,000","$249,900",10,"249,900","6,671",5/30/2012,6.21,,1970,1,Yes,,No,,,,7,,0,No,,No,Yes,,No,Unknown,,Walkout,Yes
Seth Warren Real Estate,Seth Warren,"$279,000",CL,700 Skyhawk,West Windsor,4120589,Single Family,VT,VT-Windsor,1/3/2012,4,3,"2,900",86,,2005,"$279,000","$279,000",19,"279,000","5,245",5/28/2012,1,,2005,2,Yes,,No,,,,9,,0,No,,No,,,No,Yes,,Walkout,Yes
Snyder Donegan Real Estate Group,David Donegan,"$296,500",CL,373 Hammond Hill Road,West Windsor,4133759,Single Family,VT,VT-Windsor,2/13/2012,3,2,"2,265",7,,,"$296,500","$345,000",11,"345,000","5,938",5/15/2012,3.6,Detached,1840,1.75,Yes,,No,,,,10,,3,Yes,,No,,,,Unknown,,Walkout,Yes
Seth Warren Real Estate,Seth Warren,"$440,000",CL,1043 Banister Road,West Windsor,4140274,Single Family,VT,VT-Windsor,3/13/2012,5,2,"2,325",226,,,"$440,000","$555,000",20,"555,000","9,329",1/24/2013,15.1,Attached,1980,2,Yes,,No,,,,9,,2,Yes,No,No,,,No,No,,Walk-up,Yes
Seth Warren Real Estate,Seth Warren,"$81,000",CL,A3 Deer Run Road,West Windsor,4140772,Condo,VT,VT-Windsor,3/16/2012,2,2,"1,200",208,,2006,"$81,000","$95,000",6,"95,000","2,634",11/15/2012,8,,1979,2,Yes,,No,,,,5,,0,No,,No,,Mountainside,No,Yes,,Interior,Yes
Seth Warren Real Estate,Seth Warren,"$105,000",CL,A1 Deer Run Road,West Windsor,4142446,Condo,VT,VT-Windsor,3/23/2012,2,2,"1,200",109,,2006,"$105,000","$110,000",8,"110,000","2,139",8/24/2012,8,,1979,2,Yes,,No,,,,5,,0,No,,No,,Mountainside,No,Yes,,Interior,Yes
Seth Warren Real Estate,Seth Warren,"$160,000",CL,57 Banister Road,West Windsor,4142490,Single Family,VT,VT-Windsor,3/23/2012,3,1,"1,500",825,"$125,100",,"$160,000","$179,900",10,"214,900","3,823",8/20/2014,0.25,Attached,1940,2,Unknown,,No,Stream,,No,6,,2,Yes,No,No,,,No,No,,Interior,Yes
Dark Horse Realty,Dana S Waters,"$182,000",CL,363 EAST ROWE HILL RD,West Windsor,4148099,Single Family,VT,VT-Windsor,4/12/2012,3,2,"1,500",181,,,"$182,000","$197,000",14,"197,000","4,025",10/16/2012,3.05,Under,1976,2,Yes,,No,,,,6,,1,Yes,No,No,,,No,No,,Walkout,Yes
Dark Horse Realty,Dana S Waters,"$168,000",CL,720 Skyhawk Lane,West Windsor,4149737,Single Family,VT,VT-Windsor,4/20/2012,4,3,"2,388",811,"$195,000",2012,"$168,000","$179,900",9,"199,000","3,680",9/18/2014,1.9,Under,1973,1.5,Yes,,No,,,No,7,,1,Yes,No,No,,,,Yes,,Walkout,Yes
Seth Warren Real Estate,Seth Warren,"$106,000",CL,506 Mountain Edge Road,West Windsor,4153393,Condo,VT,VT-Windsor,5/4/2012,3,3,"1,600",365,"$167,700",,"$106,000","$139,000",12,"149,000","2,188",5/17/2013,17,,1986,2,Yes,,No,,,,6,,0,No,No,No,,,No,Yes,,,No
Seth Warren Real Estate,Seth Warren,"$99,900",CL,307 Seems Rd,West Windsor,4158599,Single Family,VT,VT-Windsor,5/24/2012,3,2,"1,000",29,,2006,"$99,900","$99,900",1,"99,900","2,199",8/3/2012,1.47,,1965,1,Unknown,,No,,,,6,,0,No,No,No,,,No,No,,Interior,Yes
Dark Horse Realty,Dana S Waters,"$350,000",CL,125 Highfield Dr,West Windsor,4159052,Single Family,VT,VT-Windsor,5/25/2012,2,3,"2,320",341,"$564,600",2011,"$350,000","$399,000",7,"499,000","6,708",5/30/2013,11.02,Under,1999,1.5,Yes,,No,,,,6,,2,Yes,No,No,,,No,No,,Walkout,Yes
LindeMac Real Estate,Linde McNamara,"$379,000",CL,893 Brownsville Hartland Road,West Windsor,4161040,Single Family,VT,VT-Windsor,5/31/2012,3,3,"3,606",119,"$494,900",2006,"$379,000","$399,000",19,"399,000","7,089",11/8/2012,5.01,Attached,1985,1.75,Yes,,No,,,,10,,2,Yes,No,No,,,,Unknown,,Interior,Yes
Dark Horse Realty,Dana S Waters,"$145,000",CL,527 Skyhawk,West Windsor,4161934,Single Family,VT,VT-Windsor,6/2/2012,3,2,944,79,"$148,700",2011,"$145,000","$159,000",9,"159,000","2,771",9/7/2012,1,,1972,2,Yes,,No,,,,5,,0,No,No,No,,,No,Yes,,,No
Dark Horse Realty,Dana S Waters,"$300,000",CL,331 Bald Hill Rd,West Windsor,4165210,Single Family,VT,VT-Windsor,6/13/2012,4,3,"2,288",341,"$362,500",,"$300,000","$349,000",11,"349,000","6,506",6/21/2013,20.24,Under,1992,2,Yes,,No,,,,8,,1,Yes,No,No,,,No,Unknown,,Walkout,Yes
Seth Warren Real Estate,Seth Warren,"$280,000",CL,902 Bible Hill Road,West Windsor,4167624,Single Family,VT,VT-Windsor,6/21/2012,3,2,"1,552",67,,,"$280,000","$299,000",20,"299,000","6,187",10/18/2012,1.76,Attached,1984,1,Yes,,No,,,,6,,2,Yes,,No,Yes,,No,Yes,,Walkout,Yes
Four Seasons Sotheby`s Int`l Realty,house 22126,"$75,000",CL,815 Ski Tow Road Unit #4,West Windsor,4167877,Condo,VT,VT-Windsor,6/22/2012,1,1,759,276,"$90,200",,"$75,000","$85,000",4,"85,000","1,190",5/24/2013,0,,1966,1.5,Yes,,No,,,,3,,0,No,No,No,,Ascutney Mt. Village,No,Yes,,,No
VCP Sotheby`s International - Ludlow,house,"$435,000",CL,15 Silver Hill Road,West Windsor,4170429,Single Family,VT,VT-Windsor,7/2/2012,3,3,"2,032",186,,,"$435,000","$399,000",23,"468,000","7,750",3/20/2013,5.14,,1820,2,Unknown,,No,,,,6,,0,No,No,No,,,No,No,,Interior,Yes
Seth Warren Real Estate,Seth Warren,"$215,000",CL,64 Village Lane,West Windsor,4184751,Single Family,VT,VT-Windsor,9/9/2012,4,3,"2,000",30,,,"$215,000","$239,000",16,"239,000","4,451",11/30/2012,0.5,,1984,2.5,Yes,,No,,,,9,,0,No,No,No,,,No,Yes,,Walkout,Yes
Dark Horse Realty,Dana S Waters,"$165,000",CL,845 Skyhawk Lane S-41,West Windsor,4186775,Single Family,VT,VT-Windsor,9/18/2012,4,2,,407,"$172,000",2013,"$165,000","$172,000",10,"177,000","3,243",12/6/2013,0.9,,1972,2,Yes,,No,,,,7,,0,No,No,No,,Brownsville,No,Yes,,,No
Seth Warren Real Estate,Seth Warren,"$94,000",CL,205 Mountains Edge,West Windsor,4188661,Condo,VT,VT-Windsor,9/20/2012,3,3,"1,665",141,"$158,400",2012,"$94,000","$99,000",6,"99,000","1,891",3/13/2013,18,,1985,2,No,,No,,,,7,,0,No,No,No,,,No,Yes,,,No
Dark Horse Realty,Dana S Waters,"$174,000",CL,122 South View,West Windsor,4188239,Single Family,VT,VT-Windsor,9/25/2012,3,2,"1,450",1,"$251,400",2009,"$174,000","$179,900",5,"179,900","3,883",10/31/2012,5,,1976,1.75,Yes,,No,,,,6,,0,No,,No,,,No,Yes,,Walkout,Yes
Dark Horse Realty,Dana S Waters,"$71,500",CL,789 Unit 7 Ski Tow,West Windsor,4191442,Condo,VT,VT-Windsor,10/10/2012,1,1,644,590,"$63,900",2013,"$71,500","$77,500",8,"74,500","1,316",6/18/2014,1,,1976,1,Yes,,No,,,No,4,,0,No,No,No,,,No,Yes,,,No
Seth Warren Real Estate,Seth Warren,"$360,000",CL,123 South Knob Hill,West Windsor,4194427,Single Family,VT,VT-Windsor,10/25/2012,4,3,"2,000",152,"$592,400",2006,"$360,000","$399,900",11,"450,000","8,391",5/24/2013,4.02,Attached,2004,2,Yes,,No,,,,9,,2,Yes,No,No,,,No,No,,Walkout,Yes
Seth Warren Real Estate,Seth Warren,"$92,000",CL,307 MOUNTAINS EDGE,West Windsor,4197596,Condo,VT,VT-Windsor,11/14/2012,3,3,"1,600",467,"$164,400",,"$92,000","$115,000",10,"115,000","2,197",3/14/2014,0,,1985,2,Yes,,No,,,No,7,,0,No,No,Unknown,,,,No,,,No
Seth Warren Real Estate,Seth Warren,"$400,000",CL,267 Hartland Brownsville Rd,West Windsor,4205358,Single Family,VT,VT-Windsor,12/6/2012,5,6,"3,000",252,,,"$400,000","$449,900",24,"525,000","9,391",10/1/2013,7.5,Attached,1983,2,Yes,,No,,,,12,,1,Yes,No,No,,,No,No,,Walk-up,Yes
Seth Warren Real Estate,Seth Warren,"$156,500",CL,752 Brownsville-Hartland Road,West Windsor,4209251,Single Family,VT,VT-Windsor,1/4/2013,3,1,"1,144",16,"$134,300",2005,"$156,500","$165,000",12,"165,000","3,053",3/1/2013,0.25,Attached,1960,1,Unknown,,No,,,,6,,1,Yes,No,No,,,,No,,Interior,Yes
Seth Warren Real Estate,Seth Warren,"$112,000",CL,410 Mountains Edge,West Windsor,4218204,Condo,VT,VT-Windsor,2/23/2013,3,3,"1,600",3,,,"$112,000","$119,900",1,"119,900","2,620",4/2/2013,17,,1986,2,Unknown,,No,,,,6,,0,No,No,No,,,,Yes,,,No
Seth Warren Real Estate,Seth Warren,"$106,500",CL,304 Mtn Edge Road,West Windsor,4222836,Condo,VT,VT-Windsor,3/18/2013,3,3,"1,700",241,"$169,800",2006,"$106,500","$119,000",9,"119,000","2,188",12/20/2013,17,,1986,2,Yes,,No,,,,6,,0,No,No,No,,,No,Yes,,,No
Dark Horse Realty,Dana S Waters,"$399,000",CL,183 Highfield Drive,West Windsor,4223518,Single Family,VT,VT-Windsor,3/21/2013,3,4,"3,100",88,"$435,000",2012,"$399,000","$440,000",20,"440,000","7,752",7/25/2013,11.1,Attached,1988,2,Yes,,No,,,,8,,2,Yes,No,No,Yes,,No,No,,Interior,Yes
